taxon,5-1_AdultBodyMass_g,3-1_AgeatFirstBirth_d,7-1_DispersalAge_d,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d
Cercopithecus_wolfi,8.088002852652878,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Cerdocyon_thous,8.655503646110027,NaN,5.272999558563747,4.046204186894165,5.494418546750363,1.128171090909654,NaN,4.927253685157205,5.6317492717563695,NaN,4.28123898086119
Cervus_elaphus,12.392000732634907,6.9014454135860985,NaN,5.4621778956984075,NaN,0.0861776962410524,NaN,5.773308537304811,6.492103462085741,NaN,4.650525887708889
Cervus_nippon,10.878047003854995,6.9985096422506015,NaN,5.410127041600043,NaN,0.0,NaN,5.720442915549309,6.250206875662055,1.3862943611198906,5.286750730176571
Chaerephon_ansorgei,NaN,NaN,NaN,4.225811324964407,NaN,NaN,NaN,NaN,NaN,NaN,4.288127958229824
Chaerephon_bivittatus,2.7356653681351832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chaerephon_jobensis,3.030616675407493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chaerephon_major,2.719319793360441,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN
Chaerephon_nigeriae,3.0027078872904163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chaerephon_plicatus,3.0832851705618523,NaN,NaN,4.484583222998974,NaN,-0.01005033585350145,0.6931471805599453,NaN,NaN,NaN,NaN
Chaerephon_pumilus,2.3960754360813845,5.024406698180174,NaN,4.136285930010272,NaN,0.0,1.0986122886681098,4.0943445622221,4.948547101782834,NaN,3.1986731175506815
Chaerephon_russatus,2.8320361808832013,NaN,NaN,NaN,NaN,-0.01005033585350145,NaN,NaN,NaN,NaN,NaN
Chaetocauda_sichuanensis,3.4503049557691834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chaetodipus_arenarius,3.1354942159291497,NaN,NaN,NaN,NaN,1.0681530811834012,NaN,NaN,NaN,NaN,NaN
Chaetodipus_baileyi,3.34779660493504,NaN,NaN,NaN,NaN,1.3029127521808397,NaN,NaN,NaN,NaN,NaN
Chaetodipus_californicus,3.1359289040472746,NaN,NaN,3.22525543183224,NaN,1.3862943611198906,NaN,NaN,NaN,NaN,3.1354942159291497
Chaetodipus_fallax,2.9543893100196086,NaN,NaN,3.2188758248682006,NaN,1.2383742310432684,0.0,4.601162164590552,5.128892291489103,NaN,NaN
Chaetodipus_formosus,2.9967317738870745,NaN,NaN,3.332204510175204,NaN,1.6639260977181702,0.0,4.0943445622221,5.933755981962552,NaN,3.044522437723423
Chaetodipus_hispidus,3.617383452408866,NaN,NaN,NaN,NaN,1.6752256529721035,0.6931471805599453,NaN,NaN,NaN,3.407179453339703
Chaetodipus_intermedius,2.7040421797046714,NaN,NaN,NaN,NaN,1.7101878155342434,NaN,NaN,NaN,NaN,NaN
Chaetodipus_lineatus,3.1354942159291497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chaetodipus_nelsoni,2.7427736371605955,NaN,NaN,3.421979920844684,NaN,1.2412685890696329,NaN,NaN,NaN,NaN,NaN
Chaetodipus_penicillatus,2.745345985845907,NaN,NaN,3.258096538021482,NaN,1.2237754316221157,NaN,NaN,NaN,NaN,NaN
Chaetodipus_pernix,2.833213344056216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chaetodipus_spinatus,2.7936160894318567,NaN,NaN,NaN,NaN,1.252762968495368,NaN,NaN,NaN,NaN,NaN
Cricetulus_barabensis,NaN,NaN,NaN,NaN,NaN,1.801709800081223,NaN,NaN,NaN,NaN,2.995732273553991
Cricetulus_longicaudatus,NaN,NaN,NaN,NaN,NaN,1.742219023667919,NaN,NaN,NaN,NaN,NaN
Cricetulus_migratorius,3.420673158162812,NaN,NaN,2.4849066497880004,NaN,1.6486586255873816,0.6931471805599453,NaN,NaN,NaN,3.1986731175506815
Cricetus_cricetus,6.061340362018974,4.513602992462601,NaN,2.970414465569701,4.8782461060505105,1.965712776351493,0.6931471805599453,3.871201010907891,4.4599131733309525,NaN,3.2128577525426376
Crocidura_allex,NaN,NaN,NaN,NaN,NaN,1.3837912309017721,NaN,NaN,NaN,NaN,NaN
Crocidura_attenuata,NaN,NaN,NaN,NaN,NaN,-0.01005033585350145,NaN,NaN,NaN,NaN,NaN
Crocidura_batesi,2.8027541365715076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_beatus,2.3561258599220753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_bottegi,1.2499017362143359,NaN,NaN,NaN,NaN,1.095273387402595,NaN,NaN,NaN,NaN,NaN
Crocidura_buettikoferi,NaN,NaN,NaN,NaN,NaN,1.095273387402595,NaN,NaN,NaN,NaN,NaN
Crocidura_canariensis,2.0149030205422647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_crossei,2.0794415416798357,NaN,NaN,NaN,NaN,1.0986122886681098,NaN,NaN,NaN,NaN,NaN
Crocidura_cyanea,2.149433913499871,NaN,NaN,NaN,NaN,1.2781522025001875,NaN,NaN,NaN,NaN,NaN
Crocidura_dolichura,1.728109442151599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_douceti,1.4586150226995167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_dsinezumi,NaN,NaN,NaN,NaN,NaN,1.4562867329399256,NaN,NaN,NaN,NaN,NaN
Crocidura_eisentrauti,NaN,NaN,NaN,NaN,NaN,0.688134638736401,NaN,NaN,NaN,NaN,NaN
Crocidura_elgonius,1.8718021769015913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_flavescens,3.441058915087286,NaN,NaN,3.2188758248682006,NaN,1.2149127443642704,NaN,NaN,NaN,NaN,NaN
Crocidura_foxi,3.044522437723423,NaN,NaN,NaN,NaN,0.688134638736401,NaN,NaN,NaN,NaN,NaN
Crocidura_fuliginosa,2.4849066497880004,NaN,NaN,NaN,NaN,0.5481214085096876,NaN,NaN,NaN,NaN,NaN
Crocidura_fulvastra,2.302585092994046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_fumosa,2.673458756332591,NaN,NaN,NaN,NaN,1.3190856114264407,NaN,NaN,NaN,NaN,NaN
Crocidura_fuscomurina,1.7227665977411035,NaN,NaN,NaN,NaN,1.0986122886681098,NaN,NaN,NaN,NaN,2.850128299695199
Crocidura_goliath,4.4764273100953655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_gracilipes,1.900613874140137,NaN,NaN,NaN,NaN,1.095273387402595,NaN,NaN,NaN,NaN,NaN
Crocidura_grandiceps,3.1354942159291497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_grayi,2.3702437414678603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_hildegardeae,2.330200260027019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_hirta,2.760009940032921,NaN,NaN,2.8903717578961645,4.07753744390572,1.358409157630355,NaN,NaN,NaN,NaN,2.8758219768814333
Crocidura_pasha,1.8718021769015913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_planiceps,0.9162907318741551,NaN,NaN,NaN,NaN,1.0986122886681098,NaN,NaN,NaN,NaN,NaN
Crocidura_poensis,2.8361502037295256,NaN,NaN,NaN,NaN,0.8919980393051105,NaN,NaN,NaN,NaN,NaN
Crocidura_raineyi,2.673458756332591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_religiosa,1.9459101490553132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Crocidura_russula,2.2915241456346207,4.55597994179732,NaN,3.367295829986474,3.349904087274605,1.3962446919730587,NaN,3.648057459593681,4.202899968776446,NaN,3.170525563927154
